date,year,month,unemployment_rate,youth_unemployment_rate,long_term_unemployment_rate,labour_force_participation_rate,source,country_code
2011-05-31,2011,5,13.2,28.3,6.6,73.83,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-06-30,2011,6,13.1,28.1,6.7,73.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-07-31,2011,7,13.2,29.9,6.57,73.77,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-08-31,2011,8,13.6,31.2,6.43,73.73,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-09-30,2011,9,13.9,31.7,6.3,73.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-10-31,2011,10,14.1,32.9,6.5,73.5,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-11-30,2011,11,14.6,35.2,6.7,73.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2011-12-31,2011,12,15.1,35.8,6.9,73.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-01-31,2012,1,14.9,35.8,7.0,73.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-02-29,2012,2,15.4,35.9,7.1,73.17,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-03-31,2012,3,15.8,36.2,7.2,73.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-04-30,2012,4,16.2,37.2,7.33,73.33,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-05-31,2012,5,16.2,36.9,7.47,73.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-06-30,2012,6,16.3,38.4,7.6,73.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-07-31,2012,7,16.4,38.4,7.9,73.63,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-08-31,2012,8,17.0,40.3,8.2,73.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-09-30,2012,9,17.0,39.7,8.5,73.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-10-31,2012,10,17.5,39.8,8.7,73.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-11-30,2012,11,17.8,39.8,8.9,73.23,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2012-12-31,2012,12,18.2,41.0,9.1,73.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-01-31,2013,1,18.3,41.2,9.33,72.9,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-02-28,2013,2,18.2,42.1,9.57,72.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-03-31,2013,3,18.2,40.9,9.8,72.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-04-30,2013,4,18.0,39.6,9.83,72.77,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-05-31,2013,5,17.9,39.0,9.87,72.83,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-06-30,2013,6,17.5,38.7,9.9,72.9,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-07-31,2013,7,17.5,39.1,9.9,72.97,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-08-31,2013,8,16.8,37.7,9.9,73.03,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-09-30,2013,9,16.5,37.3,9.9,73.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-10-31,2013,10,16.3,36.9,9.7,73.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-11-30,2013,11,16.0,35.7,9.5,73.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2013-12-31,2013,12,15.7,35.7,9.3,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-01-31,2014,1,15.5,35.4,9.2,73.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-02-28,2014,2,15.5,36.9,9.1,73.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-03-31,2014,3,15.3,36.1,9.0,73.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-04-30,2014,4,15.2,36.5,9.03,73.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-05-31,2014,5,15.0,36.4,9.07,73.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-06-30,2014,6,14.9,35.2,9.1,73.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-07-31,2014,7,14.7,34.8,8.83,73.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-08-31,2014,8,14.0,32.7,8.57,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-09-30,2014,9,13.8,32.1,8.3,73.5,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-10-31,2014,10,14.0,32.6,8.3,73.37,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-11-30,2014,11,13.9,32.9,8.3,73.23,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2014-12-31,2014,12,14.0,34.3,8.3,73.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-01-31,2015,1,14.1,34.6,8.23,73.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-02-28,2015,2,13.9,33.6,8.17,73.17,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-03-31,2015,3,13.6,32.7,8.1,73.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-04-30,2015,4,13.2,32.3,7.83,73.23,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-05-31,2015,5,12.8,31.2,7.57,73.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-06-30,2015,6,12.7,31.7,7.3,73.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-07-31,2015,7,12.6,30.9,7.27,73.33,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-08-31,2015,8,12.6,31.2,7.23,73.37,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-09-30,2015,9,12.7,31.2,7.2,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-10-31,2015,10,12.7,31.6,7.17,73.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-11-30,2015,11,12.5,31.6,7.13,73.53,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2015-12-31,2015,12,12.5,30.1,7.1,73.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-01-31,2016,1,12.3,29.3,7.03,73.53,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-02-29,2016,2,12.5,30.1,6.97,73.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-03-31,2016,3,12.3,31.4,6.9,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-04-30,2016,4,11.9,30.2,6.73,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-05-31,2016,5,11.6,28.3,6.57,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-06-30,2016,6,11.4,27.0,6.4,73.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-07-31,2016,7,11.2,27.2,6.37,73.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-08-31,2016,8,11.2,26.3,6.33,73.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-09-30,2016,9,11.2,28.0,6.3,74.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-10-31,2016,10,10.9,26.8,6.17,74.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-11-30,2016,11,10.7,26.6,6.03,74.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2016-12-31,2016,12,10.3,25.9,5.9,74.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-01-31,2017,1,10.2,24.8,5.73,74.03,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-02-28,2017,2,10.0,24.4,5.57,74.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-03-31,2017,3,10.0,22.9,5.4,74.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-04-30,2017,4,9.8,24.1,5.2,74.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-05-31,2017,5,9.5,24.1,5.0,74.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-06-30,2017,6,9.5,23.7,4.8,74.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-07-31,2017,7,9.2,22.6,4.67,74.63,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-08-31,2017,8,9.1,24.2,4.53,74.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-09-30,2017,9,8.8,24.1,4.4,75.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-10-31,2017,10,8.6,24.2,4.2,75.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-11-30,2017,11,8.2,22.6,4.0,75.17,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2017-12-31,2017,12,8.0,22.0,3.8,75.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-01-31,2018,1,7.9,21.1,3.77,75.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-02-28,2018,2,7.7,21.2,3.73,75.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-03-31,2018,3,7.6,21.9,3.7,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-04-30,2018,4,7.3,20.9,3.53,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-05-31,2018,5,7.3,20.7,3.37,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-06-30,2018,6,7.1,19.9,3.2,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-07-31,2018,7,7.1,19.8,3.13,75.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-08-31,2018,8,7.2,20.1,3.07,75.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-09-30,2018,9,6.7,19.4,3.0,75.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-10-31,2018,10,6.7,20.5,2.9,75.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-11-30,2018,11,6.7,19.0,2.8,75.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2018-12-31,2018,12,6.7,18.2,2.7,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-01-31,2019,1,6.6,17.6,2.7,75.03,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-02-28,2019,2,6.6,17.2,2.7,75.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-03-31,2019,3,6.6,17.7,2.7,75.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-04-30,2019,4,6.7,17.5,2.77,75.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-05-31,2019,5,6.7,19.8,2.83,75.17,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-06-30,2019,6,6.7,19.0,2.9,75.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-07-31,2019,7,6.6,19.6,2.9,75.37,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-08-31,2019,8,6.5,17.9,2.9,75.53,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-09-30,2019,9,6.6,18.8,2.9,75.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-10-31,2019,10,6.5,17.7,2.87,75.73,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-11-30,2019,11,6.7,18.6,2.83,75.77,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2019-12-31,2019,12,6.8,18.9,2.8,75.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-01-31,2020,1,6.8,19.4,2.7,75.53,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-02-29,2020,2,6.5,19.3,2.6,75.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-03-31,2020,3,5.8,17.3,2.5,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-04-30,2020,4,5.7,19.8,2.23,73.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-05-31,2020,5,6.1,21.8,1.97,72.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-06-30,2020,6,7.5,26.8,1.7,71.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-07-31,2020,7,8.2,26.2,2.0,72.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-08-31,2020,8,8.4,27.1,2.3,73.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-09-30,2020,9,8.2,25.0,2.6,74.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-10-31,2020,10,7.8,24.8,2.57,74.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-11-30,2020,11,7.2,22.0,2.53,74.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2020-12-31,2020,12,6.9,22.9,2.5,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-01-31,2021,1,6.9,22.7,2.43,74.43,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-02-28,2021,2,6.8,22.9,2.37,73.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-03-31,2021,3,6.7,22.7,2.3,73.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-04-30,2021,4,7.2,25.7,2.53,73.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-05-31,2021,5,7.3,26.1,2.77,74.43,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-06-30,2021,6,7.1,25.3,3.0,75.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-07-31,2021,7,6.8,23.1,3.03,75.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-08-31,2021,8,6.6,22.8,3.07,75.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-09-30,2021,9,6.6,22.6,3.1,75.3,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-10-31,2021,10,6.4,21.9,3.07,75.37,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-11-30,2021,11,6.3,21.9,3.03,75.43,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2021-12-31,2021,12,6.0,20.7,3.0,75.5,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-01-31,2022,1,5.9,20.7,2.93,75.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-02-28,2022,2,5.7,20.7,2.87,75.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-03-31,2022,3,5.9,20.0,2.8,75.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-04-30,2022,4,6.1,20.7,2.87,75.77,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-05-31,2022,5,6.3,18.3,2.93,75.73,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-06-30,2022,6,6.2,18.9,3.0,75.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-07-31,2022,7,6.2,17.7,2.83,75.97,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-08-31,2022,8,6.2,18.9,2.67,76.23,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-09-30,2022,9,6.2,18.6,2.5,76.5,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-10-31,2022,10,6.1,17.5,2.57,76.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-11-30,2022,11,6.6,19.1,2.63,76.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2022-12-31,2022,12,6.8,19.3,2.7,76.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-01-31,2023,1,7.0,20.8,2.67,76.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-02-28,2023,2,6.8,19.1,2.63,77.07,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-03-31,2023,3,6.8,20.0,2.6,77.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-04-30,2023,4,6.6,18.4,2.6,77.27,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-05-31,2023,5,6.5,18.8,2.6,77.33,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-06-30,2023,6,6.4,18.8,2.6,77.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-07-31,2023,7,6.4,20.7,2.5,77.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-08-31,2023,8,6.3,21.0,2.4,77.53,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-09-30,2023,9,6.6,21.3,2.3,77.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-10-31,2023,10,6.6,21.2,2.3,77.73,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-11-30,2023,11,6.5,23.3,2.3,77.87,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2023-12-31,2023,12,6.4,23.1,2.3,78.0,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-01-31,2024,1,6.4,24.0,2.27,77.9,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-02-29,2024,2,6.5,22.4,2.23,77.8,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-03-31,2024,3,6.4,23.0,2.2,77.7,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-04-30,2024,4,6.4,22.3,2.27,77.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-05-31,2024,5,6.5,23.5,2.33,77.63,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-06-30,2024,6,6.5,21.7,2.4,77.6,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-07-31,2024,7,6.5,21.3,2.4,77.77,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-08-31,2024,8,6.3,19.8,2.4,77.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-09-30,2024,9,6.5,20.9,2.4,78.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-10-31,2024,10,6.6,21.3,2.43,78.23,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-11-30,2024,11,6.6,21.0,2.47,78.37,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2024-12-31,2024,12,6.4,20.4,2.5,78.5,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-01-31,2025,1,6.3,20.2,2.47,78.47,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-02-28,2025,2,6.3,20.6,2.43,78.43,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-03-31,2025,3,6.3,20.4,2.4,78.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-04-30,2025,4,6.2,19.6,2.37,78.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-05-31,2025,5,6.2,19.6,2.33,78.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-06-30,2025,6,6.1,19.1,2.3,78.4,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-07-31,2025,7,6.0,19.6,2.23,78.67,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-08-31,2025,8,6.0,18.9,2.17,78.93,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-09-30,2025,9,6.0,18.5,2.1,79.2,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-10-31,2025,10,5.8,18.9,2.07,79.17,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-11-30,2025,11,5.7,18.8,2.03,79.13,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
2025-12-31,2025,12,5.6,18.5,2.0,79.1,"Eurostat (une_rt_m, une_ltu_q, lfsq_argan)",PT
