date,year,quarter,nominal_gdp_eur_millions,real_gdp_eur_millions,nominal_gdp_growth_rate_yoy,nominal_gdp_growth_rate_qoq,gdp_per_capita_eur,source,country_code
2014-12-31,2014,4,43522.9,42606.3,0.55,0.19,16620.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2015-03-31,2015,1,44377.1,42861.7,2.94,1.96,17280.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2015-06-30,2015,2,44677.5,42891.9,3.62,0.68,17280.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2015-09-30,2015,3,45010.6,42962.9,3.62,0.75,17280.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2015-12-31,2015,4,45327.4,43166.5,4.15,0.7,17280.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2016-03-31,2016,1,45872.2,43315.5,3.37,1.2,18000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2016-06-30,2016,2,46139.4,43517.4,3.27,0.58,18000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2016-09-30,2016,3,46831.1,43998.7,4.04,1.5,18000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2016-12-31,2016,4,47538.1,44496.3,4.88,1.51,18000.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2017-03-31,2017,1,47946.5,44927.3,4.52,0.86,18910.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2017-06-30,2017,2,48587.4,45056.2,5.31,1.34,18910.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2017-09-30,2017,3,49182.4,45364.2,5.02,1.22,18910.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2017-12-31,2017,4,49792.8,45791.7,4.74,1.24,18910.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2018-03-31,2018,1,50342.4,46060.0,5.0,1.1,19840.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2018-06-30,2018,2,50917.2,46500.3,4.8,1.14,19840.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2018-09-30,2018,3,51600.7,46812.3,4.92,1.34,19840.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2018-12-31,2018,4,52137.3,47103.7,4.71,1.04,19840.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2019-03-31,2019,1,52902.1,47491.7,5.08,1.47,20710.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2019-06-30,2019,2,53135.1,47755.1,4.36,0.44,20710.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2019-09-30,2019,3,53898.8,47952.2,4.45,1.44,20710.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2019-12-31,2019,4,54553.9,48397.4,4.64,1.22,20710.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2020-03-31,2020,1,52436.1,46338.2,-0.88,-3.88,19360.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2020-06-30,2020,2,45407.1,39366.6,-14.54,-13.4,19360.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2020-09-30,2020,3,51359.2,45008.9,-4.71,13.11,19360.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2020-12-31,2020,4,51830.4,45162.8,-4.99,0.92,19360.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2021-03-31,2021,1,51295.2,43846.3,-2.18,-1.03,20800.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2021-06-30,2021,2,53216.3,45872.4,17.2,3.75,20800.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2021-09-30,2021,3,55311.9,47501.7,7.7,3.94,20800.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2021-12-31,2021,4,56670.4,48432.8,9.34,2.46,20800.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2022-03-31,2022,1,58623.4,49143.2,14.29,3.45,23300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2022-06-30,2022,2,60096.8,49334.4,12.93,2.51,23300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2022-09-30,2022,3,61610.1,49894.0,11.39,2.52,23300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2022-12-31,2022,4,63626.9,50251.0,12.28,3.27,23300.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2023-03-31,2023,1,66102.1,50889.4,12.76,3.89,25560.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2023-06-30,2023,2,67070.0,51136.5,11.6,1.46,25560.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2023-09-30,2023,3,68228.9,51188.8,10.74,1.73,25560.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2023-12-31,2023,4,68951.6,51565.2,8.37,1.06,25560.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2024-03-31,2024,1,71016.3,51933.6,7.43,2.99,27100.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2024-06-30,2024,2,71794.9,52204.4,7.04,1.1,27100.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2024-09-30,2024,3,72925.6,52279.9,6.88,1.57,27100.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2024-12-31,2024,4,74047.5,52897.0,7.39,1.54,27100.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2025-03-31,2025,1,74635.0,52747.6,5.1,0.79,28390.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2025-06-30,2025,2,75940.7,53109.0,5.77,1.75,28390.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2025-09-30,2025,3,77673.1,53428.3,6.51,2.28,28390.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
2025-12-31,2025,4,78492.9,53925.6,6.0,1.06,28390.0,"Eurostat (namq_10_gdp, nama_10_pc)",PT
