date,year,month,hicp_annual_rate,cpi_annual_rate,core_inflation_rate,energy_price_index,food_price_index,source,country_code
2016-02-29,2016,2,0.2,0.2,0.7,95.1,99.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-03-31,2016,3,0.5,0.5,1.1,97.6,99.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-04-30,2016,4,0.5,0.5,1.0,98.7,100.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-05-31,2016,5,0.4,0.4,1.0,99.2,100.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-06-30,2016,6,0.7,0.7,1.0,100.3,101.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-07-31,2016,7,0.7,0.7,1.1,98.6,101.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-08-31,2016,8,0.8,0.8,0.9,97.9,102.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-09-30,2016,9,0.7,0.7,0.7,97.7,101.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-10-31,2016,10,1.1,1.1,1.2,99.0,101.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-11-30,2016,11,0.5,0.5,0.4,98.5,100.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2016-12-31,2016,12,0.9,0.9,0.5,100.0,100.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-01-31,2017,1,1.3,1.3,0.4,103.0,101.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-02-28,2017,2,1.6,1.6,0.6,102.9,101.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-03-31,2017,3,1.4,1.4,0.4,102.4,102.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-04-30,2017,4,2.4,2.4,2.3,102.4,102.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-05-31,2017,5,1.7,1.7,1.5,101.2,102.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-06-30,2017,6,1.0,1.0,1.3,100.2,102.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-07-31,2017,7,1.0,1.0,1.1,99.7,102.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-08-31,2017,8,1.3,1.3,1.4,100.4,102.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-09-30,2017,9,1.6,1.6,1.5,101.3,103.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-10-31,2017,10,1.9,1.9,2.0,101.8,102.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-11-30,2017,11,1.8,1.8,1.2,103.0,103.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2017-12-31,2017,12,1.6,1.6,1.2,103.3,103.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-01-31,2018,1,1.1,1.1,0.8,105.4,103.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-02-28,2018,2,0.7,0.7,0.6,104.6,102.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-03-31,2018,3,0.8,0.8,0.9,103.8,102.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-04-30,2018,4,0.3,0.3,-0.2,105.1,103.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-05-31,2018,5,1.4,1.4,1.0,107.2,103.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-06-30,2018,6,2.0,2.0,1.5,108.0,103.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-07-31,2018,7,2.2,2.2,1.8,107.6,104.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-08-31,2018,8,1.3,1.3,0.6,108.0,104.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-09-30,2018,9,1.8,1.8,1.5,108.6,104.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-10-31,2018,10,0.8,0.8,0.1,109.4,103.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-11-30,2018,11,0.9,0.9,0.5,108.1,103.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2018-12-31,2018,12,0.6,0.6,0.5,104.8,103.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-01-31,2019,1,0.6,0.6,0.9,103.0,104.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-02-28,2019,2,0.9,0.9,1.0,103.9,103.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-03-31,2019,3,0.8,0.8,0.5,105.2,104.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-04-30,2019,4,0.9,0.9,1.1,106.3,103.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-05-31,2019,5,0.3,0.3,0.3,107.4,104.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-06-30,2019,6,0.7,0.7,1.0,105.3,104.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-07-31,2019,7,-0.7,-0.7,-0.7,104.7,104.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-08-31,2019,8,-0.1,-0.1,0.2,104.3,104.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-09-30,2019,9,-0.3,-0.3,0.0,104.4,104.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-10-31,2019,10,-0.1,-0.1,0.1,104.6,104.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-11-30,2019,11,0.2,0.2,0.5,104.6,104.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2019-12-31,2019,12,0.4,0.4,0.4,104.9,104.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-01-31,2020,1,0.8,0.8,0.5,106.4,105.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-02-29,2020,2,0.5,0.5,0.4,105.0,104.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-03-31,2020,3,0.1,0.1,0.2,101.3,105.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-04-30,2020,4,-0.1,-0.1,-0.2,96.0,107.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-05-31,2020,5,-0.6,-0.6,-0.3,95.2,106.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-06-30,2020,6,0.2,0.2,0.2,97.2,107.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-07-31,2020,7,-0.1,-0.1,-0.2,98.9,106.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-08-31,2020,8,-0.2,-0.2,-0.4,98.9,106.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-09-30,2020,9,-0.8,-0.8,-1.1,98.4,105.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-10-31,2020,10,-0.6,-0.6,-0.8,98.1,106.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-11-30,2020,11,-0.4,-0.4,-0.5,98.1,106.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2020-12-31,2020,12,-0.3,-0.3,-0.4,99.6,105.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-01-31,2021,1,0.2,0.2,0.3,101.6,106.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-02-28,2021,2,0.3,0.3,0.4,101.7,105.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-03-31,2021,3,0.1,0.1,-0.3,103.8,106.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-04-30,2021,4,-0.1,-0.1,-0.8,104.0,106.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-05-31,2021,5,0.5,0.5,-0.6,105.0,106.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-06-30,2021,6,-0.6,-0.6,-1.7,106.3,107.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-07-31,2021,7,1.1,1.1,0.3,107.8,107.3,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-08-31,2021,8,1.3,1.3,0.4,108.4,107.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-09-30,2021,9,1.3,1.3,0.5,109.1,106.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-10-31,2021,10,1.8,1.8,0.9,111.5,107.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-11-30,2021,11,2.6,2.6,1.8,112.4,107.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2021-12-31,2021,12,2.8,2.8,1.9,111.0,108.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-01-31,2022,1,3.4,3.4,2.4,114.1,109.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-02-28,2022,2,4.4,4.4,3.2,117.2,109.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-03-31,2022,3,5.5,5.5,3.4,124.7,112.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-04-30,2022,4,7.4,7.4,4.5,132.2,116.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-05-31,2022,5,8.1,8.1,4.7,134.0,118.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-06-30,2022,6,9.0,9.0,5.3,140.2,119.7,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-07-31,2022,7,9.4,9.4,5.7,141.6,120.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-08-31,2022,8,9.3,9.3,6.0,134.5,121.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-09-30,2022,9,9.8,9.8,6.5,133.4,122.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-10-31,2022,10,10.6,10.6,6.3,142.3,124.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-11-30,2022,11,10.2,10.2,5.7,140.1,126.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2022-12-31,2022,12,9.8,9.8,5.5,134.0,127.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-01-31,2023,1,8.6,8.6,5.2,122.4,129.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-02-28,2023,2,8.6,8.6,5.4,119.6,130.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-03-31,2023,3,8.0,8.0,5.9,119.1,132.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-04-30,2023,4,6.9,6.9,6.4,115.3,132.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-05-31,2023,5,5.4,5.4,6.5,113.2,128.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-06-30,2023,6,4.7,4.7,6.4,113.8,129.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-07-31,2023,7,4.3,4.3,5.8,120.4,128.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-08-31,2023,8,5.3,5.3,6.2,126.0,129.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-09-30,2023,9,4.8,4.8,5.1,128.3,129.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-10-31,2023,10,3.2,3.2,4.7,125.6,129.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-11-30,2023,11,2.2,2.2,3.7,123.1,130.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2023-12-31,2023,12,1.9,1.9,3.3,120.2,129.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-01-31,2024,1,2.5,2.5,2.9,122.4,132.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-02-29,2024,2,2.3,2.3,2.6,124.7,132.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-03-31,2024,3,2.6,2.6,3.2,124.8,132.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-04-30,2024,4,2.3,2.3,2.4,124.5,133.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-05-31,2024,5,3.8,3.8,3.5,122.1,133.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-06-30,2024,6,3.1,3.1,2.5,124.3,133.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-07-31,2024,7,2.7,2.7,2.2,125.4,133.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-08-31,2024,8,1.8,1.8,1.8,123.8,132.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-09-30,2024,9,2.6,2.6,3.1,123.2,133.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-10-31,2024,10,2.6,2.6,2.8,124.9,133.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-11-30,2024,11,2.7,2.7,2.7,125.4,133.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2024-12-31,2024,12,3.1,3.1,2.9,126.0,133.8,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-01-31,2025,1,2.7,2.7,3.0,125.7,135.0,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-02-28,2025,2,2.5,2.5,2.7,126.7,134.5,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-03-31,2025,3,1.9,1.9,2.1,124.9,135.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-04-30,2025,4,2.1,2.1,2.7,124.1,135.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-05-31,2025,5,1.7,1.7,1.7,122.0,136.4,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-06-30,2025,6,2.1,2.1,2.2,122.7,136.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-07-31,2025,7,2.5,2.5,2.5,124.1,138.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-08-31,2025,8,2.5,2.5,2.5,123.6,137.6,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-09-30,2025,9,1.9,1.9,1.6,123.8,137.9,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-10-31,2025,10,2.0,2.0,1.9,123.3,138.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-11-30,2025,11,2.1,2.1,2.1,124.4,138.2,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
2025-12-31,2025,12,2.4,2.4,2.6,122.9,138.1,"Eurostat (prc_hicp_manr, prc_hicp_midx)",PT
