date,year,month,ecb_main_refinancing_rate,euribor_3m,euribor_6m,euribor_12m,portugal_10y_bond_yield,source,country_code
2013-12-31,2013,12,0.25,0.274,0.371,0.542,6.04,ECB Data API,PT
2014-01-31,2014,1,0.25,0.292,0.396,0.562,5.212,ECB Data API,PT
2014-02-28,2014,2,0.25,0.288,0.387,0.549,4.935,ECB Data API,PT
2014-03-31,2014,3,0.25,0.305,0.407,0.577,4.43,ECB Data API,PT
2014-04-30,2014,4,0.25,0.33,0.43,0.604,3.818,ECB Data API,PT
2014-05-31,2014,5,0.25,0.325,0.417,0.592,3.661,ECB Data API,PT
2014-06-30,2014,6,0.15,0.241,0.333,0.513,3.503,ECB Data API,PT
2014-07-31,2014,7,0.15,0.205,0.305,0.488,3.687,ECB Data API,PT
2014-08-31,2014,8,0.15,0.192,0.292,0.469,3.473,ECB Data API,PT
2014-09-30,2014,9,0.05,0.097,0.2,0.362,3.178,ECB Data API,PT
2014-10-31,2014,10,0.05,0.083,0.184,0.338,3.212,ECB Data API,PT
2014-11-30,2014,11,0.05,0.081,0.182,0.335,3.128,ECB Data API,PT
2014-12-31,2014,12,0.05,0.081,0.176,0.329,2.809,ECB Data API,PT
2015-01-31,2015,1,0.05,0.063,0.152,0.298,2.486,ECB Data API,PT
2015-02-28,2015,2,0.05,0.048,0.126,0.255,2.322,ECB Data API,PT
2015-03-31,2015,3,0.05,0.027,0.097,0.212,1.742,ECB Data API,PT
2015-04-30,2015,4,0.05,0.005,0.073,0.18,1.869,ECB Data API,PT
2015-05-31,2015,5,0.05,-0.01,0.057,0.165,2.413,ECB Data API,PT
2015-06-30,2015,6,0.05,-0.014,0.049,0.163,2.932,ECB Data API,PT
2015-07-31,2015,7,0.05,-0.019,0.049,0.167,2.738,ECB Data API,PT
2015-08-31,2015,8,0.05,-0.028,0.044,0.161,2.515,ECB Data API,PT
2015-09-30,2015,9,0.05,-0.037,0.035,0.154,2.586,ECB Data API,PT
2015-10-31,2015,10,0.05,-0.054,0.02,0.128,2.409,ECB Data API,PT
2015-11-30,2015,11,0.05,-0.088,-0.015,0.079,2.573,ECB Data API,PT
2015-12-31,2015,12,0.05,-0.126,-0.04,0.059,2.489,ECB Data API,PT
2016-01-31,2016,1,0.05,-0.146,-0.061,0.042,2.708,ECB Data API,PT
2016-02-29,2016,2,0.05,-0.184,-0.115,-0.008,3.228,ECB Data API,PT
2016-03-31,2016,3,0.0,-0.229,-0.134,-0.012,2.839,ECB Data API,PT
2016-04-30,2016,4,0.0,-0.249,-0.138,-0.01,3.126,ECB Data API,PT
2016-05-31,2016,5,0.0,-0.257,-0.144,-0.013,3.145,ECB Data API,PT
2016-06-30,2016,6,0.0,-0.268,-0.162,-0.028,3.201,ECB Data API,PT
2016-07-31,2016,7,0.0,-0.295,-0.188,-0.056,3.056,ECB Data API,PT
2016-08-31,2016,8,0.0,-0.298,-0.189,-0.048,2.912,ECB Data API,PT
2016-09-30,2016,9,0.0,-0.302,-0.199,-0.057,3.256,ECB Data API,PT
2016-10-31,2016,10,0.0,-0.309,-0.207,-0.069,3.326,ECB Data API,PT
2016-11-30,2016,11,0.0,-0.313,-0.215,-0.074,3.514,ECB Data API,PT
2016-12-31,2016,12,0.0,-0.316,-0.218,-0.08,3.742,ECB Data API,PT
2017-01-31,2017,1,0.0,-0.326,-0.236,-0.094,3.949,ECB Data API,PT
2017-02-28,2017,2,0.0,-0.329,-0.241,-0.106,4.043,ECB Data API,PT
2017-03-31,2017,3,0.0,-0.329,-0.241,-0.11,3.992,ECB Data API,PT
2017-04-30,2017,4,0.0,-0.33,-0.246,-0.119,3.774,ECB Data API,PT
2017-05-31,2017,5,0.0,-0.329,-0.251,-0.127,3.287,ECB Data API,PT
2017-06-30,2017,6,0.0,-0.33,-0.267,-0.149,2.968,ECB Data API,PT
2017-07-31,2017,7,0.0,-0.33,-0.273,-0.154,3.025,ECB Data API,PT
2017-08-31,2017,8,0.0,-0.329,-0.272,-0.156,2.828,ECB Data API,PT
2017-09-30,2017,9,0.0,-0.329,-0.273,-0.168,2.63,ECB Data API,PT
2017-10-31,2017,10,0.0,-0.33,-0.274,-0.18,2.322,ECB Data API,PT
2017-11-30,2017,11,0.0,-0.329,-0.274,-0.189,1.981,ECB Data API,PT
2017-12-31,2017,12,0.0,-0.328,-0.271,-0.19,1.828,ECB Data API,PT
2018-01-31,2018,1,0.0,-0.328,-0.274,-0.189,1.846,ECB Data API,PT
2018-02-28,2018,2,0.0,-0.328,-0.275,-0.191,2.032,ECB Data API,PT
2018-03-31,2018,3,0.0,-0.328,-0.271,-0.191,1.79,ECB Data API,PT
2018-04-30,2018,4,0.0,-0.328,-0.27,-0.19,1.662,ECB Data API,PT
2018-05-31,2018,5,0.0,-0.325,-0.27,-0.188,1.838,ECB Data API,PT
2018-06-30,2018,6,0.0,-0.322,-0.269,-0.181,1.866,ECB Data API,PT
2018-07-31,2018,7,0.0,-0.321,-0.269,-0.18,1.761,ECB Data API,PT
2018-08-31,2018,8,0.0,-0.319,-0.267,-0.169,1.819,ECB Data API,PT
2018-09-30,2018,9,0.0,-0.319,-0.268,-0.166,1.881,ECB Data API,PT
2018-10-31,2018,10,0.0,-0.318,-0.264,-0.154,1.956,ECB Data API,PT
2018-11-30,2018,11,0.0,-0.316,-0.257,-0.147,1.905,ECB Data API,PT
2018-12-31,2018,12,0.0,-0.312,-0.241,-0.129,1.706,ECB Data API,PT
2019-01-31,2019,1,0.0,-0.308,-0.236,-0.116,1.665,ECB Data API,PT
2019-02-28,2019,2,0.0,-0.308,-0.232,-0.108,1.547,ECB Data API,PT
2019-03-31,2019,3,0.0,-0.309,-0.23,-0.109,1.317,ECB Data API,PT
2019-04-30,2019,4,0.0,-0.31,-0.231,-0.112,1.18,ECB Data API,PT
2019-05-31,2019,5,0.0,-0.312,-0.237,-0.134,1.022,ECB Data API,PT
2019-06-30,2019,6,0.0,-0.329,-0.279,-0.19,0.586,ECB Data API,PT
2019-07-31,2019,7,0.0,-0.365,-0.347,-0.283,0.443,ECB Data API,PT
2019-08-31,2019,8,0.0,-0.408,-0.405,-0.356,0.173,ECB Data API,PT
2019-09-30,2019,9,0.0,-0.418,-0.394,-0.339,0.204,ECB Data API,PT
2019-10-31,2019,10,0.0,-0.413,-0.362,-0.304,0.187,ECB Data API,PT
2019-11-30,2019,11,0.0,-0.401,-0.337,-0.272,0.349,ECB Data API,PT
2019-12-31,2019,12,0.0,-0.395,-0.336,-0.261,0.407,ECB Data API,PT
2020-01-31,2020,1,0.0,-0.391,-0.33,-0.253,0.37,ECB Data API,PT
2020-02-29,2020,2,0.0,-0.409,-0.355,-0.288,0.247,ECB Data API,PT
2020-03-31,2020,3,0.0,-0.417,-0.365,-0.266,0.706,ECB Data API,PT
2020-04-30,2020,4,0.0,-0.254,-0.192,-0.108,0.968,ECB Data API,PT
2020-05-31,2020,5,0.0,-0.272,-0.143,-0.081,0.808,ECB Data API,PT
2020-06-30,2020,6,0.0,-0.376,-0.223,-0.147,0.527,ECB Data API,PT
2020-07-31,2020,7,0.0,-0.444,-0.346,-0.279,0.4,ECB Data API,PT
2020-08-31,2020,8,0.0,-0.48,-0.433,-0.359,0.355,ECB Data API,PT
2020-09-30,2020,9,0.0,-0.491,-0.463,-0.415,0.319,ECB Data API,PT
2020-10-31,2020,10,0.0,-0.509,-0.494,-0.466,0.177,ECB Data API,PT
2020-11-30,2020,11,0.0,-0.521,-0.509,-0.481,0.072,ECB Data API,PT
2020-12-31,2020,12,0.0,-0.538,-0.519,-0.497,0.027,ECB Data API,PT
2021-01-31,2021,1,0.0,-0.547,-0.528,-0.505,0.027,ECB Data API,PT
2021-02-28,2021,2,0.0,-0.541,-0.52,-0.501,0.162,ECB Data API,PT
2021-03-31,2021,3,0.0,-0.539,-0.516,-0.487,0.232,ECB Data API,PT
2021-04-30,2021,4,0.0,-0.538,-0.516,-0.484,0.349,ECB Data API,PT
2021-05-31,2021,5,0.0,-0.54,-0.513,-0.481,0.53,ECB Data API,PT
2021-06-30,2021,6,0.0,-0.543,-0.515,-0.484,0.43,ECB Data API,PT
2021-07-31,2021,7,0.0,-0.545,-0.516,-0.491,0.274,ECB Data API,PT
2021-08-31,2021,8,0.0,-0.548,-0.527,-0.498,0.143,ECB Data API,PT
2021-09-30,2021,9,0.0,-0.545,-0.522,-0.492,0.258,ECB Data API,PT
2021-10-31,2021,10,0.0,-0.55,-0.527,-0.477,0.393,ECB Data API,PT
2021-11-30,2021,11,0.0,-0.567,-0.534,-0.487,0.389,ECB Data API,PT
2021-12-31,2021,12,0.0,-0.582,-0.545,-0.502,0.355,ECB Data API,PT
2022-01-31,2022,1,0.0,-0.56,-0.527,-0.477,0.581,ECB Data API,PT
2022-02-28,2022,2,0.0,-0.532,-0.476,-0.335,1.059,ECB Data API,PT
2022-03-31,2022,3,0.0,-0.495,-0.418,-0.237,1.155,ECB Data API,PT
2022-04-30,2022,4,0.0,-0.448,-0.311,0.013,1.761,ECB Data API,PT
2022-05-31,2022,5,0.0,-0.386,-0.144,0.287,2.137,ECB Data API,PT
2022-06-30,2022,6,0.0,-0.239,0.162,0.852,2.65,ECB Data API,PT
2022-07-31,2022,7,0.5,0.037,0.466,0.992,2.26,ECB Data API,PT
2022-08-31,2022,8,0.5,0.395,0.837,1.249,2.158,ECB Data API,PT
2022-09-30,2022,9,1.25,1.011,1.596,2.233,2.892,ECB Data API,PT
2022-10-31,2022,10,1.25,1.428,1.997,2.629,3.264,ECB Data API,PT
2022-11-30,2022,11,2.0,1.825,2.321,2.828,3.021,ECB Data API,PT
2022-12-31,2022,12,2.5,2.063,2.56,3.018,3.103,ECB Data API,PT
2023-01-31,2023,1,2.5,2.345,2.858,3.337,3.132,ECB Data API,PT
2023-02-28,2023,2,3.0,2.64,3.135,3.534,3.274,ECB Data API,PT
2023-03-31,2023,3,3.5,2.911,3.267,3.647,3.27,ECB Data API,PT
2023-04-30,2023,4,3.5,3.179,3.516,3.757,3.203,ECB Data API,PT
2023-05-31,2023,5,3.75,3.372,3.682,3.862,3.158,ECB Data API,PT
2023-06-30,2023,6,4.0,3.536,3.825,4.007,3.093,ECB Data API,PT
2023-07-31,2023,7,4.0,3.672,3.942,4.149,3.231,ECB Data API,PT
2023-08-31,2023,8,4.25,3.78,3.944,4.073,3.305,ECB Data API,PT
2023-09-30,2023,9,4.5,3.88,4.03,4.149,3.446,ECB Data API,PT
2023-10-31,2023,10,4.5,3.968,4.115,4.16,3.586,ECB Data API,PT
2023-11-30,2023,11,4.5,3.972,4.065,4.022,3.301,ECB Data API,PT
2023-12-31,2023,12,4.5,3.935,3.927,3.679,2.855,ECB Data API,PT
2024-01-31,2024,1,4.5,3.925,3.892,3.609,2.965,ECB Data API,PT
2024-02-29,2024,2,4.5,3.923,3.901,3.671,3.062,ECB Data API,PT
2024-03-31,2024,3,4.5,3.923,3.895,3.718,3.017,ECB Data API,PT
2024-04-30,2024,4,4.5,3.885,3.838,3.703,3.135,ECB Data API,PT
2024-05-31,2024,5,4.5,3.813,3.787,3.68,3.164,ECB Data API,PT
2024-06-30,2024,6,4.25,3.724,3.715,3.65,3.187,ECB Data API,PT
2024-07-31,2024,7,4.25,3.685,3.644,3.526,3.099,ECB Data API,PT
2024-08-31,2024,8,4.25,3.548,3.425,3.166,2.875,ECB Data API,PT
2024-09-30,2024,9,3.65,3.434,3.258,2.936,2.778,ECB Data API,PT
2024-10-31,2024,10,3.4,3.167,3.002,2.691,2.732,ECB Data API,PT
2024-11-30,2024,11,3.4,3.007,2.788,2.506,2.789,ECB Data API,PT
2024-12-31,2024,12,3.15,2.825,2.632,2.436,2.684,ECB Data API,PT
2025-01-31,2025,1,3.15,2.704,2.614,2.525,2.959,ECB Data API,PT
2025-02-28,2025,2,2.9,2.525,2.46,2.407,2.953,ECB Data API,PT
2025-03-31,2025,3,2.65,2.442,2.385,2.398,3.292,ECB Data API,PT
2025-04-30,2025,4,2.4,2.249,2.202,2.143,3.114,ECB Data API,PT
2025-05-31,2025,5,2.4,2.087,2.116,2.081,3.077,ECB Data API,PT
2025-06-30,2025,6,2.15,1.984,2.05,2.081,3.023,ECB Data API,PT
2025-07-31,2025,7,,1.986,2.055,2.079,3.105,ECB Data API,PT
2025-08-31,2025,8,,2.021,2.084,2.114,3.12,ECB Data API,PT
2025-09-30,2025,9,,2.027,2.102,2.172,3.133,ECB Data API,PT
2025-10-31,2025,10,,2.034,2.107,2.187,3.021,ECB Data API,PT
2025-11-30,2025,11,,2.042,2.131,2.217,3.025,ECB Data API,PT
2025-12-31,2025,12,,2.048,2.139,2.267,3.146,ECB Data API,PT
