date,year,month,total_credit_eur_millions,nfc_credit_eur_millions,household_credit_eur_millions,npl_ratio,credit_growth_rate_yoy,source,country_code
2012-12-31,2012,12,713630.6,287161.0,156432.1,10.0,2.53,BPStat (Banco de Portugal),PT
2013-01-31,2013,1,715727.6,283656.9,155815.4,10.2,2.11,BPStat (Banco de Portugal),PT
2013-02-28,2013,2,713704.0,282390.5,155239.2,10.4,2.09,BPStat (Banco de Portugal),PT
2013-03-31,2013,3,711063.2,281831.6,154314.8,10.6,1.7,BPStat (Banco de Portugal),PT
2013-04-30,2013,4,711409.0,281695.3,153695.0,10.8,0.84,BPStat (Banco de Portugal),PT
2013-05-31,2013,5,714169.1,281606.8,153137.0,11.0,-0.36,BPStat (Banco de Portugal),PT
2013-06-30,2013,6,716442.0,280612.5,152630.2,11.2,1.31,BPStat (Banco de Portugal),PT
2013-07-31,2013,7,713621.4,279823.5,151995.8,11.4,0.72,BPStat (Banco de Portugal),PT
2013-08-31,2013,8,713066.4,278245.1,151563.1,11.7,0.69,BPStat (Banco de Portugal),PT
2013-09-30,2013,9,708020.3,278503.9,150554.1,11.9,-0.17,BPStat (Banco de Portugal),PT
2013-10-31,2013,10,706914.7,277684.0,150106.5,12.1,-0.83,BPStat (Banco de Portugal),PT
2013-11-30,2013,11,711332.5,276406.3,149549.1,12.3,-0.7,BPStat (Banco de Portugal),PT
2013-12-31,2013,12,703996.2,274146.8,149225.6,12.5,-1.35,BPStat (Banco de Portugal),PT
2014-01-31,2014,1,705002.2,272687.5,148571.4,12.7,-1.5,BPStat (Banco de Portugal),PT
2014-02-28,2014,2,706561.0,272784.3,147950.4,12.9,-1.0,BPStat (Banco de Portugal),PT
2014-03-31,2014,3,703248.2,270184.2,146718.6,13.1,-1.1,BPStat (Banco de Portugal),PT
2014-04-30,2014,4,703816.5,269054.5,146439.6,13.3,-1.07,BPStat (Banco de Portugal),PT
2014-05-31,2014,5,700081.0,266499.9,146112.9,13.5,-1.97,BPStat (Banco de Portugal),PT
2014-06-30,2014,6,700919.9,270042.1,145424.0,13.7,-2.17,BPStat (Banco de Portugal),PT
2014-07-31,2014,7,704209.4,270615.1,145032.0,13.9,-1.32,BPStat (Banco de Portugal),PT
2014-08-31,2014,8,708014.9,269205.8,144815.6,14.1,-0.71,BPStat (Banco de Portugal),PT
2014-09-30,2014,9,710045.6,268469.2,144322.2,14.4,0.29,BPStat (Banco de Portugal),PT
2014-10-31,2014,10,705931.9,268682.1,143962.7,14.6,-0.14,BPStat (Banco de Portugal),PT
2014-11-30,2014,11,709569.3,270287.2,143793.3,14.8,-0.25,BPStat (Banco de Portugal),PT
2014-12-31,2014,12,704211.5,268430.3,143082.6,15.0,0.03,BPStat (Banco de Portugal),PT
2015-01-31,2015,1,709180.1,266644.6,142480.5,15.2,0.59,BPStat (Banco de Portugal),PT
2015-02-28,2015,2,709522.3,264665.4,142017.0,15.4,0.42,BPStat (Banco de Portugal),PT
2015-03-31,2015,3,703724.8,266888.9,141478.9,15.6,0.07,BPStat (Banco de Portugal),PT
2015-04-30,2015,4,701071.4,265170.8,141030.6,15.8,-0.39,BPStat (Banco de Portugal),PT
2015-05-31,2015,5,702520.2,263246.2,140525.7,16.0,0.35,BPStat (Banco de Portugal),PT
2015-06-30,2015,6,702805.6,267348.3,139898.9,16.2,0.27,BPStat (Banco de Portugal),PT
2015-07-31,2015,7,702932.5,266662.1,139572.2,16.4,-0.18,BPStat (Banco de Portugal),PT
2015-08-31,2015,8,701572.9,265757.3,139351.5,16.6,-0.91,BPStat (Banco de Portugal),PT
2015-09-30,2015,9,703142.4,264818.5,139172.4,16.9,-0.97,BPStat (Banco de Portugal),PT
2015-10-31,2015,10,701955.2,265980.4,138997.5,17.1,-0.56,BPStat (Banco de Portugal),PT
2015-11-30,2015,11,706093.2,267085.7,138888.1,17.3,-0.49,BPStat (Banco de Portugal),PT
2015-12-31,2015,12,702513.6,265997.2,138522.0,17.48,-0.24,BPStat (Banco de Portugal),PT
2016-01-31,2016,1,705245.2,265026.1,138197.0,17.48,-0.55,BPStat (Banco de Portugal),PT
2016-02-29,2016,2,700848.3,264070.7,137994.1,17.48,-1.22,BPStat (Banco de Portugal),PT
2016-03-31,2016,3,702256.0,264170.7,137676.2,17.86,-0.21,BPStat (Banco de Portugal),PT
2016-04-30,2016,4,705173.5,264258.8,137428.4,17.86,0.59,BPStat (Banco de Portugal),PT
2016-05-31,2016,5,706725.2,264418.7,137104.1,17.86,0.6,BPStat (Banco de Portugal),PT
2016-06-30,2016,6,707518.1,263762.8,136911.5,17.95,0.67,BPStat (Banco de Portugal),PT
2016-07-31,2016,7,707605.5,263301.5,136779.8,17.95,0.66,BPStat (Banco de Portugal),PT
2016-08-31,2016,8,709820.4,262768.9,136631.0,17.95,1.18,BPStat (Banco de Portugal),PT
2016-09-30,2016,9,709228.7,261918.6,136502.8,17.65,0.87,BPStat (Banco de Portugal),PT
2016-10-31,2016,10,708739.1,262247.4,136036.3,17.65,0.97,BPStat (Banco de Portugal),PT
2016-11-30,2016,11,708379.1,262588.5,136056.8,17.65,0.32,BPStat (Banco de Portugal),PT
2016-12-31,2016,12,705426.1,261642.7,135537.5,17.19,0.41,BPStat (Banco de Portugal),PT
2017-01-31,2017,1,708706.1,262813.8,135199.7,17.19,0.49,BPStat (Banco de Portugal),PT
2017-02-28,2017,2,711233.9,264140.9,135110.9,17.19,1.48,BPStat (Banco de Portugal),PT
2017-03-31,2017,3,712073.8,265149.8,135192.5,16.3,1.4,BPStat (Banco de Portugal),PT
2017-04-30,2017,4,716774.9,265596.5,135234.2,16.3,1.65,BPStat (Banco de Portugal),PT
2017-05-31,2017,5,719176.8,267287.0,135133.4,16.3,1.76,BPStat (Banco de Portugal),PT
2017-06-30,2017,6,720891.1,267227.2,134992.6,15.36,1.89,BPStat (Banco de Portugal),PT
2017-07-31,2017,7,720846.0,268427.3,134686.4,15.36,1.87,BPStat (Banco de Portugal),PT
2017-08-31,2017,8,723477.8,268552.8,134687.9,15.36,1.92,BPStat (Banco de Portugal),PT
2017-09-30,2017,9,721376.0,267256.3,135209.0,14.38,1.71,BPStat (Banco de Portugal),PT
2017-10-31,2017,10,720269.6,269370.9,135096.5,14.38,1.63,BPStat (Banco de Portugal),PT
2017-11-30,2017,11,720382.9,271073.2,135061.2,14.38,1.69,BPStat (Banco de Portugal),PT
2017-12-31,2017,12,717819.8,269239.1,135509.5,13.27,1.76,BPStat (Banco de Portugal),PT
2018-01-31,2018,1,721229.2,270010.0,135267.1,13.27,1.77,BPStat (Banco de Portugal),PT
2018-02-28,2018,2,723035.4,269396.9,135221.0,13.27,1.66,BPStat (Banco de Portugal),PT
2018-03-31,2018,3,722210.9,268433.0,135334.4,12.73,1.42,BPStat (Banco de Portugal),PT
2018-04-30,2018,4,726401.5,268199.1,135317.7,12.73,1.34,BPStat (Banco de Portugal),PT
2018-05-31,2018,5,724398.7,265796.6,135388.7,12.73,0.73,BPStat (Banco de Portugal),PT
2018-06-30,2018,6,721034.8,266470.3,135699.2,11.72,0.02,BPStat (Banco de Portugal),PT
2018-07-31,2018,7,721899.1,266415.2,135790.9,11.72,0.15,BPStat (Banco de Portugal),PT
2018-08-31,2018,8,723303.6,266318.0,135954.4,11.72,-0.02,BPStat (Banco de Portugal),PT
2018-09-30,2018,9,724128.4,267785.9,135783.4,11.32,0.38,BPStat (Banco de Portugal),PT
2018-10-31,2018,10,727046.0,267685.3,135921.9,11.32,0.94,BPStat (Banco de Portugal),PT
2018-11-30,2018,11,729130.7,268483.8,136058.8,11.32,1.21,BPStat (Banco de Portugal),PT
2018-12-31,2018,12,718996.2,268154.5,136294.4,9.43,0.16,BPStat (Banco de Portugal),PT
2019-01-31,2019,1,724737.7,268167.7,137927.1,9.43,0.49,BPStat (Banco de Portugal),PT
2019-02-28,2019,2,727859.8,268463.4,139796.0,9.43,0.67,BPStat (Banco de Portugal),PT
2019-03-31,2019,3,730407.9,268494.3,141697.8,8.93,1.13,BPStat (Banco de Portugal),PT
2019-04-30,2019,4,733002.7,268303.6,141743.2,8.93,0.91,BPStat (Banco de Portugal),PT
2019-05-31,2019,5,736106.6,268866.3,141929.6,8.93,1.62,BPStat (Banco de Portugal),PT
2019-06-30,2019,6,730692.5,268602.4,142114.7,8.29,1.34,BPStat (Banco de Portugal),PT
2019-07-31,2019,7,729271.5,268476.9,142032.2,8.29,1.02,BPStat (Banco de Portugal),PT
2019-08-31,2019,8,728894.5,267684.4,142088.7,8.29,0.77,BPStat (Banco de Portugal),PT
2019-09-30,2019,9,730337.1,268705.9,142296.6,7.73,0.86,BPStat (Banco de Portugal),PT
2019-10-31,2019,10,728877.0,267585.8,142413.8,7.73,0.25,BPStat (Banco de Portugal),PT
2019-11-30,2019,11,729526.0,267370.9,142617.7,7.73,0.05,BPStat (Banco de Portugal),PT
2019-12-31,2019,12,726555.8,266942.0,142589.9,6.18,1.05,BPStat (Banco de Portugal),PT
2020-01-31,2020,1,728822.6,266520.7,142748.8,6.18,0.56,BPStat (Banco de Portugal),PT
2020-02-29,2020,2,731102.9,265349.5,143119.7,6.18,0.45,BPStat (Banco de Portugal),PT
2020-03-31,2020,3,728652.1,263728.1,142907.1,5.97,-0.24,BPStat (Banco de Portugal),PT
2020-04-30,2020,4,740063.3,267276.3,142717.6,5.97,0.96,BPStat (Banco de Portugal),PT
2020-05-31,2020,5,746878.5,270341.1,142835.4,5.97,1.46,BPStat (Banco de Portugal),PT
2020-06-30,2020,6,740036.8,269068.3,143217.5,5.55,1.28,BPStat (Banco de Portugal),PT
2020-07-31,2020,7,745689.8,270576.9,143333.4,5.55,2.25,BPStat (Banco de Portugal),PT
2020-08-31,2020,8,748599.7,270891.3,143597.3,5.55,2.7,BPStat (Banco de Portugal),PT
2020-09-30,2020,9,750172.3,271262.2,143824.7,5.32,2.72,BPStat (Banco de Portugal),PT
2020-10-31,2020,10,753263.5,272369.4,144016.4,5.32,3.35,BPStat (Banco de Portugal),PT
2020-11-30,2020,11,756552.7,273975.7,144359.1,5.32,3.7,BPStat (Banco de Portugal),PT
2020-12-31,2020,12,757927.9,272141.8,144528.8,4.89,4.32,BPStat (Banco de Portugal),PT
2021-01-31,2021,1,756073.0,270868.2,144818.1,4.89,3.74,BPStat (Banco de Portugal),PT
2021-02-28,2021,2,762889.4,273394.8,145034.4,4.89,4.35,BPStat (Banco de Portugal),PT
2021-03-31,2021,3,766280.4,275504.2,145545.6,4.57,5.16,BPStat (Banco de Portugal),PT
2021-04-30,2021,4,766268.6,277298.6,146073.4,4.57,3.54,BPStat (Banco de Portugal),PT
2021-05-31,2021,5,770220.7,278162.2,146638.6,4.57,3.13,BPStat (Banco de Portugal),PT
2021-06-30,2021,6,775166.2,278127.6,147519.1,4.29,4.75,BPStat (Banco de Portugal),PT
2021-07-31,2021,7,774473.8,280082.6,148038.6,4.29,3.86,BPStat (Banco de Portugal),PT
2021-08-31,2021,8,773911.9,279343.6,148504.3,4.29,3.38,BPStat (Banco de Portugal),PT
2021-09-30,2021,9,775510.6,281286.0,149191.5,4.02,3.38,BPStat (Banco de Portugal),PT
2021-10-31,2021,10,777046.6,282259.3,149617.8,4.02,3.16,BPStat (Banco de Portugal),PT
2021-11-30,2021,11,778385.1,283714.7,149884.4,4.02,2.89,BPStat (Banco de Portugal),PT
2021-12-31,2021,12,779280.2,286210.1,150443.4,3.68,2.82,BPStat (Banco de Portugal),PT
2022-01-31,2022,1,783284.3,287717.5,150729.0,3.68,3.6,BPStat (Banco de Portugal),PT
2022-02-28,2022,2,787018.1,288245.8,151150.6,3.68,3.16,BPStat (Banco de Portugal),PT
2022-03-31,2022,3,792008.4,291027.0,151547.1,3.58,3.36,BPStat (Banco de Portugal),PT
2022-04-30,2022,4,798720.2,292698.6,152140.6,3.58,4.24,BPStat (Banco de Portugal),PT
2022-05-31,2022,5,803882.8,294899.8,152748.5,3.58,4.37,BPStat (Banco de Portugal),PT
2022-06-30,2022,6,806761.5,296791.4,153324.6,3.37,4.08,BPStat (Banco de Portugal),PT
2022-07-31,2022,7,804895.9,295784.1,153544.0,3.37,3.93,BPStat (Banco de Portugal),PT
2022-08-31,2022,8,805516.9,296866.8,153817.4,3.37,4.08,BPStat (Banco de Portugal),PT
2022-09-30,2022,9,809140.0,298227.2,154194.2,3.18,4.34,BPStat (Banco de Portugal),PT
2022-10-31,2022,10,805885.2,299597.4,154408.0,3.18,3.71,BPStat (Banco de Portugal),PT
2022-11-30,2022,11,807262.4,300105.6,154551.6,3.18,3.71,BPStat (Banco de Portugal),PT
2022-12-31,2022,12,805835.4,300481.5,154650.3,3.01,3.41,BPStat (Banco de Portugal),PT
2023-01-31,2023,1,806440.3,300812.5,153962.2,3.01,2.96,BPStat (Banco de Portugal),PT
2023-02-28,2023,2,814512.8,300116.5,153705.7,3.01,3.49,BPStat (Banco de Portugal),PT
2023-03-31,2023,3,814954.4,300416.3,154325.2,3.09,2.9,BPStat (Banco de Portugal),PT
2023-04-30,2023,4,815872.6,299467.6,154251.1,3.09,2.15,BPStat (Banco de Portugal),PT
2023-05-31,2023,5,815862.6,298338.7,154157.7,3.09,1.49,BPStat (Banco de Portugal),PT
2023-06-30,2023,6,816963.9,298757.7,153905.2,3.08,1.26,BPStat (Banco de Portugal),PT
2023-07-31,2023,7,817968.3,299002.0,153652.6,3.08,1.62,BPStat (Banco de Portugal),PT
2023-08-31,2023,8,821024.4,302132.2,153415.8,3.08,1.93,BPStat (Banco de Portugal),PT
2023-09-30,2023,9,821827.9,303000.4,153242.2,2.91,1.57,BPStat (Banco de Portugal),PT
2023-10-31,2023,10,809267.1,300063.9,153107.6,2.91,0.42,BPStat (Banco de Portugal),PT
2023-11-30,2023,11,808832.2,299204.7,153142.4,2.91,0.19,BPStat (Banco de Portugal),PT
2023-12-31,2023,12,798316.1,297692.7,153250.9,2.67,-0.93,BPStat (Banco de Portugal),PT
2024-01-31,2024,1,804788.0,297150.6,153419.0,2.67,-0.2,BPStat (Banco de Portugal),PT
2024-02-29,2024,2,804325.2,297945.6,153786.2,2.67,-1.25,BPStat (Banco de Portugal),PT
2024-03-31,2024,3,807287.2,299134.9,154304.1,2.67,-0.94,BPStat (Banco de Portugal),PT
2024-04-30,2024,4,808681.9,300282.1,154447.2,2.67,-0.88,BPStat (Banco de Portugal),PT
2024-05-31,2024,5,815713.9,301737.7,154668.3,2.67,-0.02,BPStat (Banco de Portugal),PT
2024-06-30,2024,6,819812.3,303602.6,154930.7,2.63,0.35,BPStat (Banco de Portugal),PT
2024-07-31,2024,7,816225.5,303360.3,155206.3,2.63,-0.21,BPStat (Banco de Portugal),PT
2024-08-31,2024,8,816678.8,302118.2,155878.3,2.63,-0.53,BPStat (Banco de Portugal),PT
2024-09-30,2024,9,818646.6,303695.5,156566.8,2.59,-0.39,BPStat (Banco de Portugal),PT
2024-10-31,2024,10,818018.7,303955.4,157341.6,2.59,1.08,BPStat (Banco de Portugal),PT
2024-11-30,2024,11,818641.6,302839.1,158155.0,2.59,1.21,BPStat (Banco de Portugal),PT
2024-12-31,2024,12,823048.0,304769.3,159346.8,2.44,3.1,BPStat (Banco de Portugal),PT
2025-01-31,2025,1,828089.2,304599.4,160165.6,2.44,2.9,BPStat (Banco de Portugal),PT
2025-02-28,2025,2,829374.0,304640.7,161409.2,2.44,3.11,BPStat (Banco de Portugal),PT
2025-03-31,2025,3,834984.5,306546.2,162951.9,2.35,3.43,BPStat (Banco de Portugal),PT
2025-04-30,2025,4,839314.0,305705.1,163622.6,2.35,3.79,BPStat (Banco de Portugal),PT
2025-05-31,2025,5,846683.5,307835.1,164517.2,2.35,3.8,BPStat (Banco de Portugal),PT
2025-06-30,2025,6,852699.8,308613.9,165537.0,2.3,4.01,BPStat (Banco de Portugal),PT
2025-07-31,2025,7,854271.6,308111.7,166940.2,2.3,4.66,BPStat (Banco de Portugal),PT
2025-08-31,2025,8,858433.4,308433.5,168169.6,2.3,5.11,BPStat (Banco de Portugal),PT
2025-09-30,2025,9,868563.7,309910.1,169685.4,2.25,6.1,BPStat (Banco de Portugal),PT
2025-10-31,2025,10,859846.4,309602.5,170978.7,2.25,5.11,BPStat (Banco de Portugal),PT
2025-11-30,2025,11,862202.6,309749.4,172222.2,2.25,5.32,BPStat (Banco de Portugal),PT
2025-12-31,2025,12,853404.7,308679.5,173451.0,2.12,3.69,BPStat (Banco de Portugal),PT
